Position ID,Action,Amount,Units,Open Date,Close Date,Leverage,Spread,Profit,Open Rate,Close Rate,Take profit rate,Stop lose rate,Rollover Fees and Dividends,Copied From,Type,ISIN,Notes
1518337300,Buy SPDR S&P 500 ETF, 14.84 ,0.035104,07/03/2022 19:38:28,11/03/2022 14:30:35,1, 0.03 , 0.18 , 422.74 , 427.92 , 0.00 , 0.00 , 0.00 ,GS_Capital,CFD,,
1518337301,Buy SPDR S&P 500 ETF, 7.67 ,0.018144,07/03/2022 19:38:28,11/03/2022 14:30:35,1, 0.01 , 0.09 , 422.74 , 427.92 , 0.00 , 0.00 , 0.00 ,GS_Capital,CFD,,
1327638895,Buy SPDR S&P 500 ETF, 7.50 ,0.017220,29/09/2021 15:40:21,11/03/2022 14:30:35,1, 0.01 ,(0.13), 435.55 , 427.92 , 0.00 , 0.00 , 0.02 ,GS_Capital,CFD,,
1327643128,Buy Sprott Physical Silver Trust, 29.33 ,3.895086,29/09/2021 15:42:43,11/03/2022 14:30:07,1, 0.06 , 5.54 , 7.53 , 8.95 , 14.20 , 0.00 , 0.00 ,GS_Capital,CFD,,
1518337305,Buy Sprott Physical Silver Trust, 30.03 ,3.352273,07/03/2022 19:38:28,11/03/2022 14:30:07,1, 0.05 ,(0.02), 8.96 , 8.95 , 14.20 , 0.00 , 0.00 ,GS_Capital,CFD,,
1518337303,Buy iShares 20+ Year Treasury Bond ETF , 22.26 ,0.158982,07/03/2022 19:38:28,11/03/2022 14:30:06,1, 0.04 ,(0.92), 140.02 , 134.22 , 0.00 , 0.00 , 0.00 ,GS_Capital,CFD,,
1518337302,Buy iShares 20+ Year Treasury Bond ETF , 17.15 ,0.122486,07/03/2022 19:38:28,11/03/2022 14:30:06,1, 0.03 ,(0.71), 140.02 , 134.22 , 0.00 , 0.00 , 0.00 ,GS_Capital,CFD,,
1327639952,Buy iShares 20+ Year Treasury Bond ETF , 16.75 ,0.115430,29/09/2021 15:40:58,11/03/2022 14:30:06,1, 0.03 ,(1.26), 145.11 , 134.22 , 0.00 , 0.00 , 0.08 ,GS_Capital,CFD,,
1327639543,Buy iShares 20+ Year Treasury Bond ETF , 21.75 ,0.149886,29/09/2021 15:40:44,11/03/2022 14:30:06,1, 0.04 ,(1.63), 145.11 , 134.22 , 0.00 , 0.00 , 0.12 ,GS_Capital,CFD,,
1507558684,Buy Cameco Corp, 3.62 ,0.165372,25/02/2022 14:36:13,11/03/2022 14:30:05,1, 0.00 , 0.89 , 21.89 , 27.28 , 0.00 , 0.00 , 0.00 ,GS_Capital,Stocks,CA13321L1085,
1518337307,Buy Cameco Corp, 3.71 ,0.155295,07/03/2022 19:38:28,11/03/2022 14:30:05,1, 0.00 , 0.53 , 23.89 , 27.28 , 0.00 , 0.00 , 0.00 ,GS_Capital,Stocks,CA13321L1085,
1518337304,Buy Cameco Corp, 7.52 ,0.314776,07/03/2022 19:38:28,11/03/2022 14:30:05,1, 0.00 , 1.07 , 23.89 , 27.28 , 0.00 , 0.00 , 0.00 ,GS_Capital,Stocks,CA13321L1085,
